Code,Browser,CLDR Short Name,category
U+1F471,👱‍♂️,man: blond hair,여성/가족
U+1F9D3,🧓,older person,남성
U+1F474,👴,old man,연령
U+1F475,👵,old woman,연령
U+1F64D,🙍,person frowning,연령
U+1F64D,🙍‍♂️,man frowning,0
U+1F64D,🙍‍♀️,woman frowning,남성
U+1F64E,🙎,person pouting,여성/가족
U+1F64E,🙎‍♂️,man pouting,0
U+1F64E,🙎‍♀️,woman pouting,남성
U+1F645,🙅,person gesturing NO,여성/가족
U+1F645,🙅‍♂️,man gesturing NO,0
U+1F645,🙅‍♀️,woman gesturing NO,남성
U+1F646,🙆,person gesturing OK,여성/가족
U+1F646,🙆‍♂️,man gesturing OK,0
U+1F646,🙆‍♀️,woman gesturing OK,남성
U+1F481,💁,person tipping hand,여성/가족
U+1F481,💁‍♂️,man tipping hand,0
U+1F481,💁‍♀️,woman tipping hand,남성
U+1F64B,🙋,person raising hand,여성/가족
U+1F64B,🙋‍♂️,man raising hand,0
U+1F64B,🙋‍♀️,woman raising hand,남성
U+1F9CF,🧏,deaf person,여성/가족
U+1F9CF,🧏‍♂️,deaf man,0
U+1F9CF,🧏‍♀️,deaf woman,0
U+1F647,🙇,person bowing,0
U+1F647,🙇‍♂️,man bowing,0
U+1F647,🙇‍♀️,woman bowing,0
U+1F926,🤦,person facepalming,0
U+1F926,🤦‍♂️,man facepalming,0
U+1F926,🤦‍♀️,woman facepalming,남성
U+1F937,🤷,person shrugging,여성/가족
U+1F937,🤷‍♂️,man shrugging,0
U+1F937,🤷‍♀️,woman shrugging,남성
U+1F9D1,🧑‍⚕️,health worker,여성/가족
U+1F468,👨‍⚕️,man health worker,0
U+1F469,👩‍⚕️,woman health worker,0
U+1F9D1,🧑‍🎓,student,0
U+1F468,👨‍🎓,man student,0
U+1F469,👩‍🎓,woman student,0
U+1F9D1,🧑‍🏫,teacher,0
U+1F468,👨‍🏫,man teacher,0
U+1F469,👩‍🏫,woman teacher,0
U+1F9D1,🧑‍⚖️,judge,0
U+1F468,👨‍⚖️,man judge,0
U+1F469,👩‍⚖️,woman judge,0
U+1F9D1,🧑‍🌾,farmer,0
U+1F468,👨‍🌾,man farmer,0
U+1F469,👩‍🌾,woman farmer,0
U+1F9D1,🧑‍🍳,cook,0
U+1F468,👨‍🍳,man cook,0
U+1F469,👩‍🍳,woman cook,0
U+1F9D1,🧑‍🔧,mechanic,0
U+1F468,👨‍🔧,man mechanic,0
U+1F469,👩‍🔧,woman mechanic,0
U+1F9D1,🧑‍🏭,factory worker,0
U+1F468,👨‍🏭,man factory worker,0
U+1F469,👩‍🏭,woman factory worker,0
U+1F9D1,🧑‍💼,office worker,0
U+1F468,👨‍💼,man office worker,0
U+1F469,👩‍💼,woman office worker,0
U+1F9D1,🧑‍🔬,scientist,0
U+1F468,👨‍🔬,man scientist,0
U+1F469,👩‍🔬,woman scientist,0
U+1F9D1,🧑‍💻,technologist,0
U+1F468,👨‍💻,man technologist,0
U+1F469,👩‍💻,woman technologist,0
U+1F9D1,🧑‍🎤,singer,0
U+1F468,👨‍🎤,man singer,0
U+1F469,👩‍🎤,woman singer,0
U+1F9D1,🧑‍🎨,artist,0
U+1F468,👨‍🎨,man artist,0
U+1F469,👩‍🎨,woman artist,0
U+1F9D1,🧑‍✈️,pilot,0
U+1F468,👨‍✈️,man pilot,0
U+1F469,👩‍✈️,woman pilot,0
U+1F9D1,🧑‍🚀,astronaut,0
U+1F468,👨‍🚀,man astronaut,0
U+1F469,👩‍🚀,woman astronaut,0
U+1F9D1,🧑‍🚒,firefighter,0
U+1F468,👨‍🚒,man firefighter,0
U+1F469,👩‍🚒,woman firefighter,0
U+1F46E,👮,police officer,0
U+1F46E,👮‍♂️,man police officer,0
U+1F46E,👮‍♀️,woman police officer,0
U+1F575,🕵,detective,0
U+1F575,🕵️‍♂️,man detective,0
U+1F575,🕵️‍♀️,woman detective,0
U+1F482,💂,guard,0
